FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;UK;PC_TOT;EQUIT;1.3 ;0.4 ;0.7 ;1.4 ;1.9 ;1 ;0.9 ;0.7 ;0.9 ;19.3 ;9 ;1.9 ;2.7 ;2.3 ;1.6 ;1.2 ;1.8 ;1 
A;AT;PC_TOT;GRANT;70.9 ;84.4 ;85.5 ;91.3 ;92.3 ;83.4 ;51.1 ;87.9 ;86.3 ;93.5 ;95 ;57.8 ;58.1 ;68.8 ;97.2 ;73.2 ;74.3 ;72.5 
A;BE;PC_TOT;GRANT;77.4 ;71.4 ;81.6 ;88.2 ;92.3 ;77 ;75.5 ;63.3 ;61.5 ;51.1 ;50.3 ;57.8 ;59.1 ;55.3 ;74.9 ;52.6 ;44.9 ;53.9 
A;BG;PC_TOT;GRANT;0 ;0 ;73.9 ;44.9 ;34.9 ;25 ;21 ;30.7 ;43.2 ;90 ;64.8 ;56.4 ;7.7 ;11.1 ;31.5 ;40.6 ;24.1 ;24.4 
A;CY;PC_TOT;GRANT;18.1 ;17.9 ;17.9 ;20.1 ;33.9 ;37.2 ;95.1 ;76.1 ;91.5 ;89.6 ;97.3 ;97.8 ;96.9 ;96.3 ;95.9 ;95.9 ;95.3 ;88.6 
A;CZ;PC_TOT;GRANT;18.6 ;16.8 ;9.8 ;11.1 ;53.8 ;63.2 ;70.6 ;71.4 ;72.6 ;82.3 ;81.6 ;81.5 ;84.5 ;72.2 ;77.6 ;86.3 ;28.6 ;33.9 
A;DE;PC_TOT;GRANT;66.3 ;58 ;53.4 ;65.9 ;56.5 ;52.1 ;44.2 ;38.6 ;28 ;50.4 ;48.1 ;54.5 ;47.1 ;47.1 ;68 ;73.8 ;74.5 ;75.5 
A;DK;PC_TOT;GRANT;89.3 ;89.6 ;88.4 ;85.7 ;81.1 ;88.9 ;90 ;90.8 ;90.8 ;92.4 ;91.4 ;92.8 ;88.2 ;88 ;88.2 ;65.4 ;46.9 ;43 
A;EE;PC_TOT;GRANT;70.3 ;56.3 ;82.7 ;76.3 ;77 ;88 ;87.8 ;89.7 ;80.9 ;87.2 ;59 ;83.5 ;98.7 ;99.5 ;100 ;80.9 ;71.7 ;75.3 
A;EL;PC_TOT;GRANT;52.7 ;54.6 ;60.6 ;80.4 ;60.3 ;39.9 ;41 ;56.4 ;48.6 ;40.2 ;43.9 ;32.3 ;20.7 ;26.9 ;34.6 ;21.3 ;86.5 ;99.6 
